Customer_ID,Name,Email,Product,Purchase_Amount,Likelihood_to_Recommend,Satisfaction_Score,Age,Gender,Respondent_ID
7472,Nicholas Cain,angela16@salazar-ruiz.com,Product C,332.55,10,9,65,Male,ac251993-acd9-404a-9125-b08888b23693
3700,Dylan Mosley,joshuabrown@hotmail.com,Product A,122.94,2,5,53,Male,db16e347-bc1b-4be3-8de8-5a92c87b3d11
2501,Dominique Smith,swansonthomas@hotmail.com,Product A,107.99,1,1,36,Other,e836ccde-0560-402d-8378-0693957f8f36
3877,Christina Moore,tdaniels@hotmail.com,Product C,361.46,3,9,18,Male,f22e2ef7-3f5d-46d8-97bb-819744615e94
5418,James Rodriguez,atkinsamy@gray-hamilton.com,Product C,395.84,5,1,69,Male,02aa53e6-5de1-42d0-a9c6-7dcae4227639
7627,Mr. Joshua Cox,christopher77@hotmail.com,Product B,333.42,5,3,49,Other,a50f809c-c825-4c44-8151-2885e136062f
7394,Emily Noble,hessmichelle@diaz-gordon.com,Product D,417.95,3,5,41,Female,9a67c7e5-a056-4854-8243-91bde664d4e2
4987,Kenneth Johnson,guzmandarin@hotmail.com,Product C,129.73,3,4,52,Male,e796b035-79d0-4714-a64c-e907b9e5d8c3
8729,Antonio Brown,holly92@sweeney.net,Product C,42.32,9,8,64,Male,60dd1c9d-98e7-433d-b0ff-307afc67d561
4824,Lisa Moore,schultzemma@richards-russo.info,Product A,338.45,2,2,42,Female,b577613c-bfd3-4a91-85d9-6ab142e9299c
5119,Rachel Thomas,jnovak@gmail.com,Product D,81.8,9,5,36,Male,d4067e33-e412-468d-96ca-a8dc9ae0282b
1414,Beverly Sanford,jesus15@rivera.com,Product A,233.51,1,6,29,Female,24a84108-24d0-44c9-b3be-eaa7f8a327cc
2014,Jacob York,qgonzalez@davis.org,Product D,119.65,4,10,51,Female,9a4b8e84-09e7-4c8c-b684-7233f1d242b4
8429,Angela Martin,larry86@gmail.com,Product C,123.29,1,6,39,Male,91d32724-0dab-46b7-b60c-57f7cc68e16e
7549,Aaron Smith,qli@yahoo.com,Product A,369.63,7,1,40,Female,e6c0e670-bb70-4500-81fa-eb15deffe74f
7282,Anthony Henry,robertgordon@hotmail.com,Product A,452.4,10,1,49,Other,3637d305-e101-49d5-b018-5a9305f7fbfe
7970,Charles Parker,grant38@norman.com,Product A,211.01,1,10,44,Male,0ad2bf52-ef85-4016-bbc7-05b505bf7798
6784,Alicia Reid,rowens@thomas-soto.com,Product C,56.88,7,6,33,Male,dacaa258-2151-4311-aa77-99b84ff84a94
3656,Karen Rose,jbrown@hernandez-grant.biz,Product D,209.47,10,3,62,Male,7ee61717-d5af-4928-bdd6-841bacce6767
4694,Kristin Hinton,emily05@hotmail.com,Product C,279.27,8,9,61,Other,57846395-64ff-446b-bcc9-eca60ccf1cde
1794,Amanda Murphy,econway@hotmail.com,Product B,125.23,1,5,47,Male,72cb3032-db31-436c-b099-f9a9a876b5c2
8281,Nicole Nunez,carlynewman@gmail.com,Product C,148.79,8,10,35,Male,93107c00-c745-4e96-8654-2960c2d3b8ba
9955,Sheila French,melissahughes@gmail.com,Product D,410.92,5,1,51,Male,0d94ff99-a827-4c04-8148-b8d138d48a8d
6643,Kevin Williams,awebb@hotmail.com,Product B,302.34,9,7,34,Male,cb05d993-c31a-4fab-b2c6-c258af7fff65
6530,Rachel Carr,sandra37@yahoo.com,Product C,475.89,5,10,58,Other,dfd4c1ea-8ddf-4812-9da7-61bbf1522d17
4311,Sara Potter,wgardner@hotmail.com,Product B,459.42,8,3,20,Female,f78387e9-bafb-436b-8663-8235d913c6d3
2955,Kenneth White,maryweiss@harris.biz,Product A,281.52,1,10,34,Female,d469356d-e5e8-4043-bc1d-6f48dca8cfab
4361,Jesse Mills,veronica66@yahoo.com,Product A,162.37,6,1,53,Female,51b7263c-dbac-4425-a6d9-0e79a0042c88
2569,Elizabeth Case,collinsjulia@robinson.com,Product D,346.17,10,7,21,Other,cf24a2bf-3eb2-458e-b7f7-4230ad8d3f5a
8749,Rachel Wright,riverajoseph@smith.org,Product C,94.57,3,6,59,Other,fac115fc-a773-4e67-ac9c-a1efc8dcdb4a
3328,Anna Chavez,reedmelvin@yahoo.com,Product D,134.12,8,9,22,Other,e34798bf-3142-49ec-8ea1-d3af8cb330e8
4246,April Hudson,alexandracox@hotmail.com,Product D,154.56,7,7,24,Other,239534d0-2823-4f1f-a3dd-922262a72bea
5159,Barbara Perez,ocruz@hotmail.com,Product B,435.28,6,6,26,Female,9cbebcce-4815-4a93-9b53-7616c9b0c3a4
4832,Amber Cantrell MD,bpena@farmer-baker.com,Product A,42.65,6,7,64,Other,b765799c-b73c-44d0-ad7c-9312fe7349e4
5145,Robert Sullivan,donaldrussell@mitchell.org,Product C,410.96,9,5,42,Female,596b3c82-dbea-4349-8431-135af732e39d
1309,Ariana Graves,bfoster@fernandez.org,Product A,287.5,9,1,62,Female,fa820400-8b33-45f4-ad67-ac7b09e38979
6850,Brooke Harper,nbass@bennett-butler.com,Product B,45.94,7,6,24,Female,08db7615-7c13-46a7-8804-f9506fcc48c7
7876,Katherine Reynolds,erika12@gmail.com,Product A,174.88,10,3,37,Female,8eca0770-a913-4fa8-ac71-3d5da42f2278
9671,Christine Williams,anthonybrown@villanueva.net,Product B,91.58,7,6,48,Other,e570490d-343b-4641-afa9-b97096f43051
3702,Gabriel Elliott,scoleman@kennedy.com,Product A,466.13,1,10,67,Other,1fb900e7-aaa8-4128-94d9-9cffad999565
1662,Judy Miller,hansonmichael@williams.com,Product C,245.1,2,5,65,Other,f96fd829-ab60-4f8a-9bcf-546b9da6adc6
1554,Matthew Harris,moralesderrick@mack.org,Product A,258.19,7,7,47,Male,17e5bb41-6e08-46b4-a8c8-ec27fdedc317
4807,Paul Johnson,brandonestes@morgan.com,Product D,212.73,9,7,31,Male,814d8943-ad0c-4eb3-8541-6869c7f06cf6
6835,Tammy Meza,manderson@hotmail.com,Product C,275.6,6,5,37,Male,5f8374fe-c5ee-4257-9b57-18aac41b880d
8062,Daniel Burns,james65@yahoo.com,Product A,291.52,10,1,52,Other,efa8f0f8-59d4-4fb8-950d-e6bbdb09f7b7
1184,Andrew Charles,alfred52@gmail.com,Product A,266.88,4,2,49,Other,42cd9a01-6002-473d-8fa4-65b34d0e1ea7
7156,Andres Jones,cynthiaking@yahoo.com,Product C,442.39,2,2,55,Female,f201d380-07a2-4dd3-a8b9-ebdd9378e29f
4899,Betty Powell,huntthomas@sanchez.com,Product D,349.32,5,6,66,Other,5ee76aa8-08ae-4c26-8663-35d9f7daab57
1470,Mary Garner,andrealamb@gmail.com,Product D,442.52,3,6,40,Male,3d7f29f3-0b0f-4dd2-80f6-fb8d92bca835
7632,Amanda Jones,peter92@hotmail.com,Product A,175.48,5,4,32,Female,fb8b1d7f-55e8-4a3b-bf0b-f47852dad56c
8763,Miss Christine Marks,joanna70@price.net,Product A,186.52,4,7,25,Female,6b147139-c7b1-4a06-bd67-0133d2bb2956
2687,Tiffany Hoover,devin29@monroe-bennett.com,Product B,13.13,7,3,49,Male,f9b59a00-a052-4a71-873b-2eedf5b406bc
7931,Andrew Suarez,leestacey@zimmerman.info,Product B,462.67,1,8,41,Other,d9bcd81d-c042-4774-ba1a-8b6ea4c6d3a6
3194,Deborah Edwards,daviscynthia@yahoo.com,Product A,70.7,3,5,18,Female,adaa82ee-0941-4ed5-b9b3-4ab82936f4ea
5031,Melissa Christensen,garyowens@poole.org,Product D,39.55,8,5,54,Male,f2b2becb-bbad-4980-acd1-2d6fcb28ed9d
1713,Eric Doyle,llynch@carter-guzman.com,Product B,113.89,6,9,59,Other,5e64a615-e867-472f-970e-1cfbb3825298
4010,Susan Glass,garnerjustin@diaz.com,Product C,300.94,6,6,67,Other,a0c1af5f-a173-444d-b2db-a459a4b6b689
8813,Michelle Brooks,xlewis@summers.biz,Product B,383.9,3,5,58,Other,636ac02c-c44e-498e-b7d3-2c1f5f145f99
4950,Jacob Alvarado,johnjones@gmail.com,Product C,230.79,8,9,19,Male,f5c5c9c8-c507-47ad-98cb-cd686c21e8d5
8114,Caleb Hernandez,maryjordan@guerrero-owen.biz,Product D,480.54,9,3,27,Male,3bd1adb4-2b21-42fe-a151-2a26f8f952cb
